,loc,,,,,,,,,,,,,,,,,,,sp,no,,,spz,%FILARIA,IR_character,IR,,,allele,,,
COUNTRY,,LAT,LONG,TIME PERIOD OF STUDY,YEAR START,YEAR END,COLLECTION METHOD,METHOD OF SAMPLING COLLECTION,"SAMPLING METHOD_IR (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_PSC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_ETC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_HLC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_ORC (0- No, 1- Yes, 2- In combination, 9- Unknown)","SAMPLING METHOD_LC (0- No, 1- Yes, 2- In combination, 9- Unknown)",STAGE OF COLLECTION,"COLLECTION STAGE (1- AC,2- LC,3- AC+LC, 4- LC+PC, 9-Unknown)",MORPHOLOGICAL IDENTIFICATION METHOD,MOLECULAR IDENTIFICATION METHOD,ID METHOD,,,S form,M form, ,,,,,KDR allele,,Comment,AUTHOR,REFERENCE
NIGERIA,Ilaro,6.88,3.02,1956,1956,1956,LC,LC,0,0,0,0,0,1,LC,2,,,,An. gambiae s.l,82,,,,,,,,,,Exposed to different concentrations of DDT,WHO 1957,[137]
NIGERIA,Ilaro,6.88,3.02,1956,1956,1956,LC,LC,0,0,0,0,0,1,LC,2,,,,An. gambiae s.l,199,,,,,,,,,,Exposed to different concentrations of Gamma BHC,WHO 1957,[137]
NIGERIA,Ambursa,12.51,4.34,Aug - Oct 1956,1956,1956,,,9,9,9,9,9,9,AC,1,,,,An. gambiae s.l,,,,,,Resistant,1,DDT,,,,"Armstrong et al., 1957",[138]
NIGERIA,Sokoto,13.05,5.21,Aug - Oct 1956,1956,1956,"IR, LC",IR + LC,2,0,0,0,0,2,"AC, LC",3,,,,An. gambiae s.l,272,,,,,,,,,,,"Armstrong et al., 1957",[138]
NIGERIA,Diggi,12.36,3.73,Aug - Oct 1956,1956,1956,IR,IR,1,0,0,0,0,0,AC,1,,,,An. gambiae s.l,4002,,,,,,,,,,,"Armstrong et al., 1957",[138]
NIGERIA,Birnin Kebbi Area,12.45,4.2,Aug - Oct 1956,1956,1956,"IR, LC",IR + LC,2,0,0,0,0,2,"AC, LC",3,,,,An. gambiae s.l,242,,,,,Resistant,1,Dieldrin and BHC,,,From the DDT sprayed zone of the Western Sokoto malaria control project,"Armstrong et al., 1957",[138]
NIGERIA,Ambursa,12.51,4.34,Aug - Oct 1956,1956,1956,"IR, LC",IR + LC,2,0,0,0,0,2,"AC, LC",3,,,,An. gambiae s.l,201,,,,,Resistant,1,Dieldrin and BHC,,,From the DDT sprayed zone of the Western Sokoto malaria control project,"Armstrong et al., 1957",[138]
NIGERIA,Gwandu,12.03,8.74,Aug - Oct 1956,1956,1956,"IR, LC",IR + LC,2,0,0,0,0,2,"AC, LC",3,,,,An. gambiae s.l,26,,,,,Resistant,1,Dieldrin and BHC,,,From the DDT sprayed zone of the Western Sokoto malaria control project,"Armstrong et al., 1957",[138]
NIGERIA,Kalgo,12.32,4.2,Aug - Oct 1956,1956,1956,"IR, LC",IR + LC,2,0,0,0,0,2,"AC, LC",3,,,,An. gambiae s.l,50,,,,,Resistant,1,Dieldrin ,,,From the DDT sprayed zone of the Western Sokoto malaria control project,"Armstrong et al., 1957",[138]
NIGERIA,Dagere,12.55,4.4,Aug - Oct 1956,1956,1956,"IR, LC",IR + LC,2,0,0,0,0,2,"AC, LC",3,,,,An. gambiae s.l,79,,,,,Resistant,1,Dieldrin ,,,From the DDT sprayed zone of the Western Sokoto malaria control project,"Armstrong et al., 1957",[138]
